title,body,labels,milestone,estimate,priority,tasks
Create server skeleton & CI job,"Add a server/ scaffold (server/package.json, server/README, basic lint/test scripts). Add a CI workflow that runs server lint and unit tests. Acceptance criteria: server/package.json with scripts (dev,start,test,lint); server/README documents running server & tests; GitHub Actions job that runs server lint & unit tests on PRs; root .lintstagedrc.js updated to include server patterns.","epic:1,backend,infra",Epic 1: Hexagonal Foundation,M,P0,"- [ ] Add server/ directory with package.json and basic scripts (dev,start,test,lint)
- [ ] Add server/README.md with run/test instructions and env var notes
- [ ] Update root .lintstagedrc.js to include server/src/**/* patterns
- [ ] Add GitHub Actions workflow: server-lint-test (runs on PR) that installs, lints, runs unit tests
- [ ] Verify workflow runs on a sample PR"
Define DBAdapter interface and unit-test contract,Define DBAdapter interface (server/src/db/adapter.ts or .js) that repositories depend on. Provide a MockAdapter/fake used in unit tests. Acceptance criteria: DBAdapter file exports method surface; at least one unit test shows repository injected with MockAdapter; docs snippet showing how to mock adapter in tests.,"epic:1,backend,architecture,testing",Epic 1: Hexagonal Foundation,S,P0,"- [ ] Create server/src/db/adapter.ts (or .js) and document method surface (query/queryOne or collection CRUD)
- [ ] Add example MockAdapter under server/tests/mocks/MockAdapter
- [ ] Write repository unit test that injects MockAdapter and asserts expected behavior
- [ ] Add documentation snippet in server/README.md showing how to use MockAdapter in tests"
Implement PostgresAdapter,Implement concrete PostgresAdapter using node-postgres (pg) that implements DBAdapter. Acceptance criteria: PostgresAdapter implements interface methods and reads DATABASE_URL (or POSTGRES_* envs); integration smoke test that connects to local Postgres (via Docker compose or test container) and performs CRUD; README documents env vars for Postgres.,"epic:1,backend,db,postgres,testing",Epic 1: Hexagonal Foundation,M,P1,"- [ ] Add dependency 'pg' and minimal PostgresAdapter at server/src/db/implementations/PostgresAdapter.ts
- [ ] Implement connection pooling reading DATABASE_URL env var
- [ ] Implement adapter methods to satisfy DBAdapter interface
- [ ] Add integration smoke test that runs against local Postgres (Docker Compose) and verifies basic CRUD
- [ ] Document Postgres env vars and connection examples in server/README.md"
Create Repository layer (Board/Task/User),Implement repository classes under server/src/db/repositories that accept a DBAdapter instance and provide domain persistence methods. Acceptance criteria: repositories expose find/create/update methods required by services; unit tests use MockAdapter to verify behavior; repositories do not import pg or driver code directly.,"epic:1,backend,domain,architecture,testing",Epic 1: Hexagonal Foundation,M,P0,"- [ ] Create server/src/db/repositories/TaskRepository.ts, BoardRepository.ts, UserRepository.ts skeletons
- [ ] Implement methods: create, findById, findByBoard, update for TaskRepo; analogous for Board/User
- [ ] Ensure constructors accept DBAdapter only (no direct driver imports)
- [ ] Add unit tests for each repository using MockAdapter to verify SQL/params and behavior
- [ ] Document repository contract in README or a short doc"
DI/bootstrap wiring (adapter → repos → services),Add bootstrap/factory that constructs PostgresAdapter from env and instantiates repositories and services. Acceptance criteria: server/src/bootstrap (or index) exports configured services; README includes a wiring example and how to run server with Postgres env; bootstrapping is tested in an integration smoke test.,"epic:1,backend,architecture",Epic 1: Hexagonal Foundation,S,P1,"- [ ] Implement server/src/bootstrap.ts that creates PostgresAdapter from DATABASE_URL
- [ ] Instantiate repositories with the adapter and create service instances
- [ ] Export configured services for controllers to consume
- [ ] Add example usage in server/README.md showing wiring and env vars
- [ ] Add a small integration smoke test verifying bootstrap creates working service instances"
"Define domain entities and DTOs (Board, Task, User)","Add plain domain entity/DTO definitions under server/src/domain (no ORM decorators). Task must include position3d (x,y,z) or modelRef. Acceptance criteria: entity/DTO files exist; DTO validation schemas present (class-validator or Joi); unit tests verify validation rejects/accepts expected inputs.","epic:2,backend,domain,api,testing",Epic 2: Minimal Core Backend,S,P0,"- [ ] Add server/src/domain/Task.ts, Board.ts, User.ts with plain type/interface definitions
- [ ] Create DTO validation schemas (class-validator or Joi) for create/update operations, including position3d
- [ ] Add unit tests validating DTOs accept valid input and reject invalid input
- [ ] Document entity fields and their types in server/README or domain/README"
Implement services/use-cases depending on repositories,"Implement TaskService and BoardService that accept repository interfaces in constructors and encapsulate business rules. Acceptance criteria: services import only repo interfaces (not adapters/drivers); unit tests use mocked repositories to validate business logic, validations, and error flows.","epic:2,backend,service,testing",Epic 2: Minimal Core Backend,M,P0,"- [ ] Create server/src/services/TaskService.ts and BoardService.ts skeletons
- [ ] Implement business logic: validation, transactional steps (if any), and error mapping
- [ ] Ensure services accept repository interfaces in constructors
- [ ] Add unit tests for happy path and error cases using mocked repositories
- [ ] Document service responsibilities and interactions with repos"
Thin HTTP API + DTO validation,"Implement HTTP routes that map to services: POST /boards, GET /boards/:id, POST /tasks, GET /tasks?boardId=, PATCH /tasks/:id. Acceptance criteria: controllers validate DTOs and call services; integration tests (supertest) cover the happy path using a test Postgres DB; validation errors produce consistent error shape and codes.","epic:2,backend,api,testing",Epic 2: Minimal Core Backend,M,P0,"- [ ] Add controller/route files for boards and tasks (server/src/controllers or routes)
- [ ] Wire DTO validation middleware to each route
- [ ] Ensure controllers obtain service instances via bootstrap
- [ ] Add supertest-based integration tests (run on main/merge) covering create->fetch flows
- [ ] Add tests asserting validation errors return expected JSON shape"
Add global error mapping middleware,"Add middleware to map domain/service errors to HTTP status codes and consistent JSON error shapes. Acceptance criteria: middleware exists; tests assert NotFound->404, ValidationError->400, generic->500; controllers use middleware and do not duplicate mapping logic.","epic:1,backend,api,testing",Epic 1: Hexagonal Foundation,S,P1,"- [ ] Implement error mapping middleware that maps domain errors to HTTP codes
- [ ] Add standardized error response shape documentation
- [ ] Add unit tests for middleware mapping NotFound, ValidationError and general errors
- [ ] Ensure server uses middleware globally and controllers rely on thrown errors"
Ensure Task API supports position3d,Make Task create/update DTOs persist and return position3d for 3D frontend. Acceptance criteria: POST/PATCH accept position3d and persist it; GET /tasks returns position3d; integration test asserts persistence and correct JSON shape.,"epic:3,frontend,api,integration,testing",Epic 3: 3D Board Prototype,S,P1,"- [ ] Update Task DTOs to include position3d {x,y,z} or modelRef
- [ ] Ensure repositories persist position3d in tasks table/columns (or JSONB)
- [ ] Update services to pass position3d through to repositories (with defaults if omitted)
- [ ] Add integration test (main-only) asserting position3d is stored and returned by GET /tasks"
